Welche drei Zentren bzw. Intelligenzen werden im Enneagramm unterschieden?,"Kopf, Herz und Bauch."
"Was passiert, wenn man versucht, einen Kopfmenschen in einer stressigen Situation mit liebevoller Berührung zu beruhigen?","Er fühlt sich oft nicht ernst genommen und abgewertet, was die Situation verschlimmern kann."
"Wo kann laut Pamela Michaelis wirkliche Sicherheit und Vertrauen gefunden werden, im Gegensatz zum Kopf?","Im eigenen Bauchzentrum, durch Erdung und das Aktivieren des eigenen Kraftzentrums."
"Was ist die empfohlene Handlungsweise für Kopfmenschen, um ihre Bedenken konstruktiv einzubringen?",Die Bedenken zusammen mit einem konkreten Handlungsvorschlag oder einer Lösung zu präsentieren ('What's the positive').
"Welche Fähigkeit müssen Herzmenschen entwickeln, um nicht in Schuldzuweisungen zu verfallen, wenn ihr Selbstwert bedroht ist?","Die Verantwortung für die eigene emotionale Reaktion zu übernehmen, anstatt die Schuld beim Gegenüber zu suchen."
Was meint Pamela Michaelis mit dem 'Diamanten' in jedem Menschen?,"Den leuchtenden Kern oder die einzigartige Qualität einer Person, die man sehen kann, wenn man mit einer Haltung der Offenheit und Liebe schaut."
"In welcher Reihenfolge sollten die Informationen der drei Zentren idealerweise verarbeitet werden, um eine integrierte Entscheidung zu treffen?",Die Information kommt von Bauch zu Herz und von Bauch/Herz zu Kopf.
Was ist der Unterschied zwischen einem bewussten und unbewussten Einsatz des Bauchzentrums laut Jakob (Typ 8)?,"Bewusst eingesetzt, handelt man kontrollierter und kann sich besser auf andere einlassen, anstatt automatisch zu überrollen."
Was ermöglicht die bewusste Anwendung des Herzzentrums im Gegensatz zur reaktiven Anwendung?,"Man kann die Verantwortung für die eigene Reaktion übernehmen und eine Wahl im Verhalten treffen, anstatt automatisch zu reagieren."
"Das limbische System ist maßgeblich daran beteiligt, ein Plus- oder Minus-Urteil zu fällen und ist somit unser _____.",Bewertungssystem
"Warum ist es einfacher, sich mit drei Zentren zu beschäftigen als direkt mit den neun Typen?","Weil es weniger komplex und übersichtlicher ist, besonders für Anfänger."
Was ist die grundlegende Funktion des Bauchzentrums?,Es ermöglicht uns das Überleben.
Welche Kampfkünste nutzen das Bauchzentrum (Hara-Punkt) aktiv zur Zentrierung und Kraft?,Viele Martial Arts (Kampfsportarten).
Wie kann die Integration aller drei Zentren Kriege oder destruktive Konflikte verhindern?,Der Neokortex (Kopf) kann die kämpferischen Instinkte des Stammhirns (Bauch) steuern und regulieren.
"Der Enneagramm-Stil, bei dem die aktive Bauch-Energie am stärksten spürbar ist, ist die ____.",Acht (8)
Was kann laut einem Seminarteilnehmer das Bewusstsein über die drei Zentren im Alltag bewirken?,"Es kann zu einer schnellen Problemlösung beitragen, indem man gezielt bestimmte Zentren stärkt."
Welche Erkenntnis hatte ein Kopfmensch-Teilnehmer bezüglich seines Herzzentrums?,"Er erkannte, dass er dort ein Wachstumsfeld hat und ihm ohne das Herzzentrum Handlungsalternativen fehlen."
"Was ist der Hauptvorteil, den Herzmenschen in soziale Situationen einbringen?","Sie können leicht in Beziehung gehen, nonverbale Informationen aufnehmen und Wärme erzeugen."
Wie kann sich die hohe Bewertungs- und Vergleichstendenz des Herzzentrums negativ äußern?,"Durch ständiges Auf- und Abwerten, Idealisieren oder Dramatisieren."
Der Glaubenssatz 'Andere können meinen Wert bestimmen' ist eine _____ des Herzzentrums.,irrige Annahme (oder: grundlegende Strategie)
"Was ist ein charakteristisches Merkmal des Sprechstils von Herzmenschen, das für andere irritierend sein kann?","Sie können im Kreis reden, ohne auf den Punkt zu kommen."
Welche Qualität bringen Menschen vom Typ 4 (ein Herzzentrum-Stil) oft in eine Gruppe ein?,"Eine Gabe für Tiefe, Bedeutung und intensive Emotionen."
Welche Fähigkeit des Kopfzentrums ist für die Wissenschaftlichkeit und präzise Kommunikation unerlässlich?,Das Differenzieren und Präzisieren.
"Warum kann der Versuch, einem aufgeregten Kopfmenschen die Emotionen 'wegzuerklären', kontraproduktiv sein?",Weil der Kopfmensch sich nicht ernst genommen fühlt; man kann den Stress nicht wegdiskutieren.
Was ist die Funktion des 'Testens' oder 'Piksens' bei Menschen vom Typ 6?,"Es ist ein unbewusster Prozess, um die Reaktion des Gegenübers zu prüfen und so Sicherheit und Vertrauen aufzubauen."
"Ein zentrales Thema, worunter Bauchmenschen leiden, ist, dass sie oft zu viel _____ spüren und übernehmen.",Verantwortung
"Welche körperliche Reaktion ist oft ein Indikator dafür, dass man aufgeregt ist und nicht mehr geerdet spricht?",Die Stimme geht nach oben.
Was ist laut Pamela Michaelis das 'Grundrecht' eines jeden Menschen in Bezug auf das Enneagramm?,"Zu wissen, dass es die drei Zentren gibt und welches das eigene Schwerpunktzentrum ist."
